,equity,delta
2016-05-27,-11657.0,-1.0
2016-05-31,-11610.0,0.0
2016-06-01,-11610.0,0.0
2016-06-02,-11610.0,0.0
2016-06-03,-11610.0,0.0
2016-06-06,-11610.0,0.0
2016-06-07,-11610.0,0.0
2016-06-08,-11610.0,0.0
2016-06-09,-11610.0,0.0
2016-06-10,-11610.0,0.0
2016-06-13,-11610.0,0.0
2016-06-14,-11610.0,0.0
2016-06-15,-11610.0,0.0
2016-06-16,-11610.0,0.0
2016-06-17,-11610.0,0.0
2016-06-20,-11610.0,0.0
2016-06-21,-11613.0,-1.0
2016-06-22,-11475.5,-1.0
2016-06-23,-12566.0,0.0
2016-06-24,-12569.0,-1.0
2016-06-27,-10581.5,-1.0
2016-06-28,-12181.5,-1.0
2016-06-29,-13934.5,0.0
2016-06-30,-13937.5,-1.0
2016-07-01,-14500.0,-1.0
2016-07-05,-13903.0,0.0
2016-07-06,-13903.0,0.0
2016-07-07,-13903.0,0.0
2016-07-08,-13903.0,0.0
2016-07-11,-13903.0,0.0
2016-07-12,-13903.0,0.0
2016-07-13,-13903.0,0.0
2016-07-14,-13903.0,0.0
2016-07-15,-13903.0,0.0
2016-07-18,-13903.0,0.0
2016-07-19,-13903.0,0.0
2016-07-20,-13903.0,0.0
2016-07-21,-13903.0,0.0
2016-07-22,-13903.0,0.0
2016-07-25,-13903.0,0.0
2016-07-26,-13903.0,0.0
2016-07-27,-13903.0,0.0
2016-07-28,-13903.0,0.0
2016-07-29,-13903.0,0.0
2016-08-01,-13903.0,0.0
2016-08-02,-13903.0,0.0
2016-08-03,-13903.0,0.0
2016-08-04,-13903.0,0.0
2016-08-05,-13903.0,0.0
2016-08-08,-13903.0,0.0
2016-08-09,-13903.0,0.0
2016-08-10,-13903.0,0.0
2016-08-11,-13903.0,0.0
2016-08-12,-13903.0,0.0
2016-08-15,-13903.0,0.0
2016-08-16,-13903.0,0.0
2016-08-17,-13903.0,0.0
2016-08-18,-13903.0,0.0
2016-08-19,-13903.0,0.0
2016-08-22,-13903.0,0.0
2016-08-23,-13903.0,0.0
2016-08-24,-13903.0,0.0
2016-08-25,-13903.0,0.0
2016-08-26,-13903.0,0.0
2016-08-29,-13906.0,-1.0
2016-08-30,-13693.5,-1.0
