date,equity,delta
2015-07-02,42962.5,1.0
2015-07-06,42400.0,1.0
2015-07-07,43075.0,1.0
2015-07-08,41625.0,1.0
2015-07-09,41950.0,1.0
2015-07-10,43137.5,1.0
2015-07-13,44187.5,1.0
2015-07-14,44687.5,1.0
2015-07-15,44462.5,1.0
2015-07-16,45350.0,1.0
2015-07-17,45500.0,1.0
2015-07-20,45550.0,1.0
2015-07-21,45162.5,1.0
2015-07-22,44712.5,1.0
2015-07-23,44187.5,1.0
2015-07-24,43162.5,1.0
2015-07-27,42412.5,1.0
2015-07-28,43862.5,1.0
2015-07-29,44650.0,1.0
2015-07-30,44662.5,1.0
2015-07-31,44387.5,1.0
2015-08-03,43962.5,1.0
2015-08-04,43812.5,1.0
2015-08-05,44262.5,1.0
2015-08-06,43487.5,1.0
2015-08-07,43062.5,1.0
2015-08-10,44425.0,1.0
2015-08-11,43475.0,1.0
2015-08-12,43587.5,1.0
2015-08-13,43500.0,1.0
2015-08-14,43912.5,1.0
2015-08-17,44387.5,1.0
